doing|do
depressing|depress
disgusting|disgust
distressing|distress
dismaying|dismay
irritating|irritate
embarrassing|embarrass
annoying|annoy
proving|prove
suggesting|suggest
recommending|recommend
denying|deny
describing|describe
portraying|portray
depicting|depict
regarding|regard
viewing|view
characterizing|characterize
reading|read
writing|write
seeming|seem
appearing|appear
saying|say
telling|tell
asking|ask
saying|say
voting|vote
doubling|double
tripling|triple
quadrupling|quadruple
quintupling|quintuple
abating|abate
abounding|abound
about-facing|about-face
absconding|abscond
abstaining|abstain
acceding|accede
accounting|account
accruing|accrue
aching|ache
acquiescing|acquiesce
ad-libbing|ad-lib
adhering|adhere
adjoining|adjoin
alighting|alight
alluding|allude
allying|ally
amounting|amount
apologizing|apologize
appertaining|appertain
aquaplaning|aquaplane
arising|arise
arriving|arrive
assenting|assent
atoning|atone
atrophying|atrophy
baaing|baa
babbling|babble
babysitting|babysit
backfiring|backfire
backpedalling|backpedal
backsliding|backslide
backspacing|backspace
balking|balk
ballooning|balloon
banqueting|banquet
bantering|banter
barking|bark
barnstorming|barnstorm
basking|bask
bawling|bawl
baying|bay
beetling|beetle
behaving|behave
belching|belch
bellyaching|bellyache
belonging|belong
bickering|bicker
bicycling|bicycle
billowing|billow
blabbering|blabber
blathering|blather
blazing|blaze
bleating|bleat
bleeding|bleed
bleeping|bleep
blooming|bloom
blossoming|blossom
blubbering|blubber
blundering|blunder
blushing|blush
boding|bode
booming|boom
braking|brake
brawling|brawl
braying|bray
bristling|bristle
brooding|brood
browsing|browse
bubbling|bubble
budding|bud
bullshitting|bullshit
bunking|bunk
burbling|burble
burgeoning|burgeon
burping|burp
bustling|bustle
cackling|cackle
campaigning|campaign
canoeing|canoe
cantering|canter
capering|caper
capitulating|capitulate
careening|careen
carolling|carol
carousing|carouse
cascading|cascade
castling|castle
catering|cater
caterwauling|caterwaul
cavilling|cavil
cavorting|cavort
chafing|chafe
chattering|chatter
cheeping|cheep
chirping|chirp
chirruping|chirrup
chortling|chortle
chuckling|chuckle
chugging|chug
chumming|chum
clacking|clack
clambering|clamber
clamoring|clamor
clamouring|clamour
clanking|clank
clashing|clash
clattering|clatter
clerking|clerk
climaxing|climax
clinging|cling
clucking|cluck
clunking|clunk
clustering|cluster
co-operating|co-operate
coalescing|coalesce
coasting|coast
coexisting|coexist
cohabiting|cohabit
cohering|cohere
coinciding|coincide
collaborating|collaborate
colliding|collide
commentating|commentate
commiserating|commiserate
communing|commune
competing|compete
complying|comply
compromising|compromise
confabbing|confab
confabulating|confabulate
conflicting|conflict
conforming|conform
congealing|congeal
congregating|congregate
conniving|connive
consorting|consort
conspiring|conspire
convalescing|convalesce
converging|converge
conversing|converse
cooing|coo
cooperating|cooperate
coping|cope
copulating|copulate
corresponding|correspond
cowering|cower
crackling|crackle
crash-diving|crash-dive
creaking|creak
cresting|crest
cringing|cringe
croaking|croak
crowing|crow
crusading|crusade
culminating|culminate
curtseying|curtsey
curtsying|curtsy
cycling|cycle
dabbling|dabble
dallying|dally
dawdling|dawdle
dawning|dawn
daydreaming|daydream
decamping|decamp
decaying|decay
defaulting|default
defecating|defecate
defecting|defect
degenerating|degenerate
deliberating|deliberate
delving|delve
demurring|demur
departing|depart
depending|depend
deplaning|deplane
depreciating|depreciate
deputizing|deputize
desisting|desist
despairing|despair
deteriorating|deteriorate
detracting|detract
deviating|deviate
devolving|devolve
dieting|diet
differing|differ
digressing|digress
dilly-dallying|dilly-dally
disagreing|disagree
disappearing|disappear
discoursing|discourse
discriminating|discriminate
disembarking|disembark
disintegrating|disintegrate
disrobing|disrobe
dissembling|dissemble
dissenting|dissent
dithering|dither
diverging|diverge
doddering|dodder
domineering|domineer
doodling|doodle
doting|dote
double-parking|double-park
dovetailing|dovetail
drawling|drawl
drizzling|drizzle
drooling|drool
duelling|duel
dwelling|dwell
dwindling|dwindle
eavesdropping|eavesdrop
ebbing|ebb
economizing|economize
eddying|eddy
effervescing|effervesce
elapsing|elapse
eloping|elope
emanating|emanate
embarking|embark
emerging|emerge
emigrating|emigrate
encamping|encamp
encroaching|encroach
enquiring|enquire
ensuing|ensue
erring|err
erupting|erupt
evaporating|evaporate
excelling|excel
existing|exist
exiting|exit
expatiating|expatiate
experimenting|experiment
expiring|expire
expostulating|expostulate
exulting|exult
fainting|faint
faltering|falter
faring|fare
farting|fart
fasting|fast
fawning|fawn
feinting|feint
festering|fester
fibbing|fib
fidgeting|fidget
filibustering|filibuster
fizzing|fizz
flailing|flail
flaking|flake
flaming|flame
flickering|flicker
flinching|flinch
flirting|flirt
flitting|flit
flopping|flop
floundering|flounder
flourishing|flourish
flowering|flower
fluctuating|fluctuate
fluttering|flutter
fly-fishing|fly-fish
foraging|forage
foregathering|foregather
fornicating|fornicate
fossilizing|fossilize
foxhunting|foxhunt
fragmenting|fragment
fraternizing|fraternize
freelancing|freelance
freewheeling|freewheel
fretting|fret
frothing|froth
frowning|frown
fulminating|fulminate
fuming|fume
functioning|function
fussing|fuss
gallivanting|gallivant
galumphing|galumph
gambolling|gambol
gaping|gape
gardening|garden
gawping|gawp
gazing|gaze
gelling|gel
genuflecting|genuflect
gesticulating|gesticulate
gesturing|gesture
gibing|gibe
giggling|giggle
glaring|glare
gleaming|gleam
gliding|glide
glimmering|glimmer
glinting|glint
glistening|glisten
glittering|glitter
gloating|gloat
globetrotting|globetrot
glorying|glory
glowing|glow
glowering|glower
goggling|goggle
golfing|golf
gossiping|gossip
graduating|graduate
grappling|grapple
gravitating|gravitate
graying|gray
grazing|graze
greying|grey
grimacing|grimace
grinning|grin
grooving|groove
grouching|grouch
grousing|grouse
grovelling|grovel
guffawing|guffaw
gurgling|gurgle
gybing|gybe
gyrating|gyrate
haggling|haggle
hankering|hanker
harking|hark
harping|harp
hawing|haw
hearkening|hearken
heeling|heel
hibernating|hibernate
hiccoughing|hiccough
hiccupping|hiccup
hinging|hinge
hissing|hiss
hitchhiking|hitchhike
hobnobbing|hobnob
hollering|holler
honeymooning|honeymoon
hovering|hover
huddling|huddle
huffing|huff
hungering|hunger
hurtling|hurtle
ice-skating|ice-skate
immigrating|immigrate
impending|impend
impinging|impinge
inching|inch
innovating|innovate
interacting|interact
interceding|intercede
intercommunicating|intercommunicate
interfering|interfere
intermarrying|intermarry
intermingling|intermingle
intervening|intervene
introspecting|introspect
intruding|intrude
inveighing|inveigh
itching|itch
jabbering|jabber
jack-knifing|jack-knife
jaunting|jaunt
jawing|jaw
jaywalking|jaywalk
jelling|jell
jesting|jest
jibing|jibe
jiving|jive
jockeying|jockey
joking|joke
journeying|journey
jousting|joust
kowtowing|kowtow
lagging|lag
languishing|languish
lapsing|lapse
laughing|laugh
leafing|leaf
leering|leer
legislating|legislate
liaising|liaise
lip-reading|lip-read
lisping|lisp
living|live
loafing|loaf
loitering|loiter
lolling|loll
longing|long
loping|lope
lounging|lounge
lumbering|lumber
lurking|lurk
lusting|lust
luxuriating|luxuriate
majoring|major
malfunctioning|malfunction
malingering|malinger
marvelling|marvel
masquerading|masquerade
materializing|materialize
matriculating|matriculate
maturating|maturate
maturing|mature
maundering|maunder
meandering|meander
meddling|meddle
meditating|meditate
menstruating|menstruate
metamorphosing|metamorphose
mewing|mew
miaouing|miaou
miaowing|miaow
migrating|migrate
militating|militate
mingling|mingle
ministering|minister
misbehaving|misbehave
misfiring|misfire
molting|molt
monkeying|monkey
mooing|moo
mooching|mooch
moping|mope
moralizing|moralize
moseying|mosey
motioning|motion
motoring|motor
mushrooming|mushroom
mutinying|mutiny
name-dropping|name-drop
napping|nap
nattering|natter
necking|neck
neighing|neigh
nesting|nest
networking|network
niggling|niggle
nosediving|nosedive
noshing|nosh
objecting|object
occurring|occur
officiating|officiate
orating|orate
oscillating|oscillate
outgoing|outgo
overacting|overact
overbidding|overbid
overeating|overeat
overlying|overlie
overreacting|overreact
oversleeping|oversleep
paling|pale
palling|pall
palpitating|palpitate
pandering|pander
panhandling|panhandle
panicking|panic
panting|pant
parachuting|parachute
parleying|parley
partaking|partake
participating|participate
pattering|patter
pausing|pause
peaking|peak
pearling|pearl
peeping|peep
perambulating|perambulate
percolating|percolate
perishing|perish
persevering|persevere
persisting|persist
perspiring|perspire
pertaining|pertain
philandering|philander
philosophizing|philosophize
picnicking|picnic
piddling|piddle
pimping|pimp
pinging|ping
pirouetting|pirouette
pivoting|pivot
plodding|plod
plummetting|plummet
politicking|politick
pontificating|pontificate
poring|pore
posturing|posture
pottering|potter
pouncing|pounce
pouting|pout
powwowing|powwow
prancing|prance
prating|prate
prattling|prattle
pre-existing|pre-exist
predominating|predominate
presiding|preside
prevailing|prevail
prevaricating|prevaricate
preying|prey
primping|primp
procrastinating|procrastinate
procreating|procreate
profiting|profit
profiteering|profiteer
progressing|progress
proliferating|proliferate
propagandizing|propagandize
proselytizing|proselytize
prospering|prosper
protruding|protrude
pub-crawling|pub-crawl
pulsating|pulsate
pulsing|pulse
punning|pun
purring|purr
pussyfooting|pussyfoot
putrefying|putrefy
puttering|putter
quacking|quack
quaking|quake
quarrelling|quarrel
quarrying|quarry
quavering|quaver
questing|quest
queueing|queue
quibbling|quibble
quipping|quip
quivering|quiver
racketing|racket
rafting|raft
raging|rage
railing|rail
raining|rain
rambling|ramble
rampaging|rampage
ranging|range
rankling|rankle
ranting|rant
rasping|rasp
ratting|rat
raving|rave
re-echoing|re-echo
reacting|react
reappearing|reappear
rebelling|rebel
rebounding|rebound
receding|recede
reclining|recline
recoiling|recoil
reconnoitring|reconnoitre
reconverting|reconvert
recriminating|recriminate
recuperating|recuperate
recurring|recur
redounding|redound
refraining|refrain
regressing|regress
reigning|reign
rejoicing|rejoice
relapsing|relapse
relenting|relent
relying|rely
reminiscing|reminisce
remonstrating|remonstrate
rendezvousing|rendezvous
reneging|renege
residing|reside
resigning|resign
resonating|resonate
resorting|resort
resounding|resound
resting|rest
resulting|result
resurfacing|resurface
retaliating|retaliate
retching|retch
retreating|retreat
retrenching|retrench
retrograding|retrograde
retrogressing|retrogress
revelling|revel
reverberating|reverberate
reverting|revert
revolting|revolt
revolving|revolve
rhapsodizing|rhapsodize
rioting|riot
ripening|ripen
riposting|riposte
rippling|ripple
rocketing|rocket
romancing|romance
romping|romp
rooming|room
roosting|roost
rough-housing|rough-house
roving|rove
rumbling|rumble
ruminating|ruminate
rummaging|rummage
rusting|rust
sagging|sag
salivating|salivate
sauntering|saunter
scampering|scamper
scavenging|scavenge
scheming|scheme
scintillating|scintillate
scowling|scowl
scramming|scram
screeching|screech
scrimping|scrimp
scrounging|scrounge
scuffling|scuffle
seceding|secede
seesawing|seesaw
seething|seethe
sermonizing|sermonize
shillyshallying|shillyshally
shimmering|shimmer
shitting|shit
shivering|shiver
shrimping|shrimp
shuddering|shudder
siding|side
sidling|sidle
simmering|simmer
simpering|simper
sinning|sin
sizzling|sizzle
skating|skate
skedaddling|skedaddle
skimping|skimp
skirmishing|skirmish
skulking|skulk
skylarking|skylark
skyrocketing|skyrocket
slackening|slacken
slavering|slaver
sleeping|sleep
sleeting|sleet
slithering|slither
slobbering|slobber
slogging|slog
slouching|slouch
slumming|slum
slumbering|slumber
smarting|smart
smiling|smile
smirking|smirk
smouldering|smoulder
snaking|snake
sneering|sneer
sneezing|sneeze
snickering|snicker
sniffling|sniffle
sniggering|snigger
sniping|snipe
snitching|snitch
snivelling|snivel
snooping|snoop
snoozing|snooze
snoring|snore
snowing|snow
snowballing|snowball
snuffling|snuffle
sobbing|sob
sojourning|sojourn
soliloquizing|soliloquize
somersaulting|somersault
souring|sour
sparring|spar
sparkling|sparkle
specializing|specialize
speechifying|speechify
spiralling|spiral
splurging|splurge
spluttering|splutter
sprawling|sprawl
sprinting|sprint
sputtering|sputter
squabbling|squabble
squalling|squall
squawking|squawk
squeaking|squeak
squealing|squeal
squinting|squint
squirming|squirm
stagnating|stagnate
stemming|stem
straggling|straggle
straying|stray
striving|strive
struggling|struggle
stuttering|stutter
subbing|sub
subscribing|subscribe
subsiding|subside
subsisting|subsist
succumbing|succumb
sulking|sulk
summering|summer
sunbathing|sunbathe
supping|sup
supervening|supervene
surfacing|surface
surging|surge
swaggering|swagger
swarming|swarm
sweltering|swelter
swerving|swerve
swirling|swirl
swooning|swoon
sympathizing|sympathize
tampering|tamper
tarrying|tarry
tattling|tattle
taxiing|taxi
teeming|teem
teetering|teeter
teething|teethe
temporizing|temporize
thriving|thrive
throbbing|throb
thudding|thud
tingling|tingle
tinkering|tinker
tinkling|tinkle
tiptoeing|tiptoe
tittering|titter
tittle-tattling|tittle-tattle
toadying|toady
tobogganing|toboggan
toiling|toil
tolling|toll
tootling|tootle
tonning|ton
tottering|totter
touch-typing|touch-type
towering|tower
toying|toy
traipsing|traipse
transpiring|transpire
traveling|travel
travelling|travel
trekking|trek
trembling|tremble
trespassing|trespass
trifling|trifle
triumphing|triumph
trundling|trundle
tunnelling|tunnel
tussling|tussle
tweeting|tweet
twinkling|twinkle
twitching|twitch
twittering|twitter
ululating|ululate
underacting|underact
undulating|undulate
urinating|urinate
vacationing|vacation
vacillating|vacillate
vamoosing|vamoose
vamping|vamp
vanishing|vanish
vaulting|vault
vegetating|vegetate
verging|verge
vying|vie
vouching|vouch
voyaging|voyage
waddling|waddle
waffling|waffle
wallowing|wallow
waltzing|waltz
wandering|wander
waning|wane
wanking|wank
warbling|warble
wavering|waver
weeping|weep
welshing|welsh
weltering|welter
wheezing|wheeze
whimpering|whimper
whinnying|whinny
whirring|whir
whirring|whirr
wilting|wilt
wincing|wince
winking|wink
wiretapping|wiretap
wisecracking|wisecrack
withering|wither
wobbling|wobble
womanizing|womanize
wrangling|wrangle
wriggling|wriggle
writhing|writhe
yachting|yacht
yammering|yammer
yapping|yap
yawning|yawn
yearning|yearn
yelping|yelp
yenning|yen
zigzagging|zigzag
abdicating|abdicate
abiding|abide
aborting|abort
accelerating|accelerate
acclimating|acclimate
acclimatizing|acclimatize
accumulating|accumulate
acidifying|acidify
adapting|adapt
adjourning|adjourn
adjudicating|adjudicate
adjusting|adjust
advancing|advance
advertising|advertise
affiliating|affiliate
aging|age
aggregating|aggregate
agitating|agitate
ailing|ail
aligning|align
altering|alter
alternating|alternate
amalgamating|amalgamate
anchoring|anchor
angling|angle
appealing|appeal
applauding|applaud
applying|apply
approaching|approach
approximating|approximate
arbitrating|arbitrate
arching|arch
articulating|articulate
ascending|ascend
assembling|assemble
assimilating|assimilate
assisting|assist
associating|associate
attending|attend
auditioning|audition
auguring|augur
availing|avail
awakening|awaken
bagging|bag
banding|band
banking|bank
bargaining|bargain
bartering|barter
batting|bat
bathing|bath
bathing|bathe
baulking|baulk
beckoning|beckon
benefiting|benefit
berthing|berth
bifurcating|bifurcate
blabbing|blab
blackening|blacken
blanching|blanch
blaspheming|blaspheme
bleaching|bleach
blending|blend
blinking|blink
blistering|blister
bluffing|bluff
blurring|blur
boggling|boggle
bonding|bond
boning|bone
booing|boo
bordering|border
borrowing|borrow
breastfeeding|breastfeed
breeding|breed
brewing|brew
bridling|bridle
broadcasting|broadcast
broadening|broaden
broiling|broil
browning|brown
budging|budge
buffeting|buffet
buggering|bugger
bullying|bully
burgling|burgle
burnishing|burnish
burrowing|burrow
cabling|cable
calcifying|calcify
canceling|cancel
cancelling|cancel
canvassing|canvass
capitalizing|capitalize
capsizing|capsize
carping|carp
celebrating|celebrate
centering|center
centring|centre
chanting|chant
charring|char
circling|circle
circulating|circulate
clanging|clang
clapping|clap
clasping|clasp
cleaving|cleave
clinching|clinch
clinking|clink
clotting|clot
cloying|cloy
clutching|clutch
co-starring|co-star
coaching|coach
coagulating|coagulate
coaxing|coax
cogitating|cogitate
collapsing|collapse
combining|combine
commencing|commence
commingling|commingle
communicating|communicate
commuting|commute
comparing|compare
compensating|compensate
composing|compose
computing|compute
concentrating|concentrate
condensing|condense
conducting|conduct
confederating|confederate
conferring|confer
confiding|confide
conjoining|conjoin
conjugating|conjugate
consolidating|consolidate
consulting|consult
contesting|contest
contrasting|contrast
contributing|contribute
convening|convene
converting|convert
correlating|correlate
corroding|corrode
corrupting|corrupt
couching|couch
counterattacking|counterattack
crashing|crash
crash-landing|crash-land
craving|crave
creasing|crease
cribbing|crib
crinkling|crinkle
crisscrossing|crisscross
crocheting|crochet
crooning|croon
crosschecking|crosscheck
crystallizing|crystallize
cuddling|cuddle
curdling|curdle
cursing|curse
curving|curve
dabbing|dab
damping|damp
dangling|dangle
darkening|darken
darning|darn
dating|date
debarking|debark
debating|debate
decelerating|decelerate
decomposing|decompose
decreasing|decrease
deepening|deepen
deflecting|deflect
delaying|delay
delighting|delight
democratizing|democratize
