doing|do
propagating|propagate
prowling|prowl
puking|puke
puncturing|puncture
punting|punt
putting|putt
puzzling|puzzle
qualifying|qualify
quickening|quicken
quietening|quieten
racing|race
radiating|radiate
radioing|radio
rallying|rally
ramifying|ramify
ranking|rank
rapping|rap
rating|rate
rattling|rattle
ravelling|ravel
re-forming|re-form
re-opening|re-open
readjusting|readjust
rearing|rear
rearming|rearm
reassembling|reassemble
rebuilding|rebuild
recanting|recant
recapping|recap
recapitulating|recapitulate
receiving|receive
reciprocating|reciprocate
reconvening|reconvene
recovering|reconvert
recruiting|recover
reddening|recruit
redoubling|redden
referring|redouble
reforming|refer
refueling|reform
refuelling|refuel
regenerating|regenerate
registering|register
regrouping|regroup
rehearsing|rehearse
reinvesting|reinvest
rekindling|rekindle
relating|relate
relaxing|relax
relocating|relocate
remarrying|remarry
remitting|remit
remounting|remount
renegotiating|renegotiate
reopening|reopen
reorganizing|reorganize
repairing|repair
reproducing|reproduce
resettling|resettle
restarting|restart
resuming|resume
resuscitating|resuscitate
retailing|retail
retiring|retire
retooling|retool
returning|return
reuniting|reunite
reversing|reverse
reviving|revive
rhyming|rhyme
ricocheting|ricochet
ringing|ring
ringing|ring
roaming|roam
roaring|roar
roasting|roast
rotating|rotate
rousing|rouse
rowing|row
ruffling|ruffle
rupturing|rupture
rustling|rustle
sacrificing|sacrifice
saluting|salute
sawing|saw
scanning|scan
scattering|scatter
scoffing|scoff
scolding|scold
scoring|score
scrambling|scramble
scrawling|scrawl
scribbling|scribble
scrubbing|scrub
sculpturing|sculpture
searching|search
seizing|seize
separating|separate
severing|sever
shading|shade
shattering|shatter
shelling|shell
shoplifting|shoplift
short-circuiting|short-circuit
shortening|shorten
shoving|shove
showering|shower
shrieking|shriek
shrinking|shrink
shrinking|shrink
shuffling|shuffle
sifting|sift
singing|sing
singeing|singe
sinking|sink
sinking|sink
sipping|sip
slamming|slam
slanting|slant
sloshing|slosh
smacking|smack
smearing|smear
smoking|smoke
smudging|smudge
snarling|snarl
snipping|snip
snorting|snort
snuggling|snuggle
socializing|socialize
solidifying|solidify
sowing|sow
spattering|spatter
spawning|spawn
splashing|splash
splaying|splay
splintering|splinter
spoiling|spoil
sponging|sponge
sporting|sport
spouting|spout
spring-cleaning|spring-clean
spying|spy
squashing|squash
stabilizing|stabilize
staining|stain
stalking|stalk
stalling|stall
stammering|stammer
stampeding|stampede
staring|stare
steadying|steady
steeping|steep
steepening|steepen
steering|steer
stewing|stew
stifling|stifle
stinging|sting
stinting|stint
stonewalling|stonewall
straining|strain
stratifying|stratify
streaking|streak
strengthening|strengthen
strumming|strum
stumping|stump
subcontracting|subcontract
subdividing|subdivide
subleasing|sublease
subletting|sublet
submerging|submerge
submitting|submit
substituting|substitute
succeeding|succeed
suing|sue
suffering|suffer
suffocating|suffocate
supervising|supervise
supplicating|supplicate
surrendering|surrender
surviving|survive
swallowing|swallow
swapping|swap
swaying|sway
sweating|sweat
swishing|swish
swivelling|swivel
synchronizing|synchronize
tackling|tackle
tagging|tag
tanning|tan
tapping|tap
tarnishing|tarnish
telegraphing|telegraph
telephoning|telephone
tending|tend
terminating|terminate
thawing|thaw
thrashing|thrash
thrilling|thrill
thronging|throng
throttling|throttle
thumping|thump
thundering|thunder
tickling|tickle
tilting|tilt
toasting|toast
tooting|toot
tracing|trace
trading|trade
transferring|transfer
transgressing|transgress
translating|translate
transplanting|transplant
treating|treat
trebling|treble
trotting|trot
trumping|trump
trumpeting|trumpet
tugging|tug
twirling|twirl
umpiring|umpire
unbending|unbend
uncurling|uncurl
underbidding|underbid
underspending|underspend
undressing|undress
unfastening|unfasten
unfolding|unfold
unhitching|unhitch
unifying|unify
uniting|unite
unloading|unload
unlocking|unlock
unpacking|unpack
unraveling|unravel
unrolling|unroll
unscrewing|unscrew
untying|untie
unwinding|unwind
unwrapping|unwrap
urbanizing|urbanize
vaporizing|vaporize
varying|vary
venturing|venture
vesting|vest
vibrating|vibrate
visiting|visit
volleying|volley
vomiting|vomit
wading|wade
wagging|wag
wailing|wail
wakening|waken
warping|warp
watering|water
waving|wave
waxing|wax
weakening|weaken
wedding|wed
welding|weld
wheeling|wheel
whining|whine
whirling|whirl
whistling|whistle
whitening|whiten
whittling|whittle
widening|widen
wiggling|wiggle
wiring|wire
withdrawing|withdraw
worsening|worsen
worshipping|worship
wrestling|wrestle
wrinkling|wrinkle
yelling|yell
yielding|yield
yodelling|yodel
abandoning|abandon
abasing|abase
abbreviating|abbreviate
abducting|abduct
abetting|abet
abhorring|abhor
abolishing|abolish
abridging|abridge
abrogating|abrogate
absorbing|absorb
abstracting|abstract
abusing|abuse
abutting|abut
accenting|accent
accentuating|accentuate
accessing|access
acclaiming|acclaim
accommodating|accommodate
accompanying|accompany
accomplishing|accomplish
accosting|accost
accrediting|accredit
accustoming|accustom
achieving|achieve
acquainting|acquaint
acquiring|acquire
activating|activate
addicting|addict
addling|addle
addressing|address
adjudging|adjudge
administering|administer
admiring|admire
admonishing|admonish
adopting|adopt
adoring|adore
adorning|adorn
adulterating|adulterate
adumbrating|adumbrate
aerating|aerate
affecting|affect
affixing|affix
afflicting|afflict
aggrandizing|aggrandize
aggravating|aggravate
airing|air
alienating|alienate
allaying|allay
alleviating|alleviate
allocating|allocate
allotting|allot
amassing|amass
ambushing|ambush
ameliorating|ameliorate
amending|amend
amortizing|amortize
amplifying|amplify
amputating|amputate
anaesthetizing|anaesthetize
analysing|analyse
analyzing|analyze
anathematizing|anathematize
anesthetizing|anesthetize
angering|anger
anglicizing|anglicize
animating|animate
annexing|annex
annihilating|annihilate
annointing|annoint
annotating|annotate
annulling|annul
anointing|anoint
antagonizing|antagonize
antedating|antedate
aping|ape
appalling|appal
appeasing|appease
appending|append
apportioning|apportion
appraising|appraise
apprehending|apprehend
apprenticing|apprentice
apprising|apprise
appropriating|appropriate
arming|arm
arousing|arouse
arraigning|arraign
arraying|array
arresting|arrest
arrogating|arrogate
ascribing|ascribe
asphalting|asphalt
asphyxiating|asphyxiate
aspirating|aspirate
assailing|assail
assassinating|assassinate
assaulting|assault
assaying|assay
assessing|assess
assuaging|assuage
atomizing|atomize
attaching|attach
attacking|attack
attaining|attain
attenuating|attenuate
attiring|attire
attracting|attract
attributing|attribute
attuning|attune
auditing|audit
augmenting|augment
authenticating|authenticate
autographing|autograph
automating|automate
avenging|avenge
averring|aver
averting|avert
awaiting|await
awing|awe
axing|ax
axing|axe
backdating|backdate
badgering|badger
baffling|baffle
baiting|bait
baking|bake
balancing|balance
baling|bale
bamboozling|bamboozle
banning|ban
bandaging|bandage
banishing|banish
bankrupting|bankrupt
baptizing|baptize
barbarizing|barbarize
barbecuing|barbecue
baring|bare
barrelling|barrel
barricading|barricade
bashing|base
basing|bash
basting|baste
battering|batter
battling|battle
beatifying|beatify
beautifying|beautify
bedevilling|bedevil
befalling|befall
befitting|befit
befouling|befoul
befriending|befriend
begetting|beget
beggaring|beggar
beguiling|beguile
beheading|behead
beholding|behold
belabouring|belabour
belying|belie
belittling|belittle
belting|belt
bemoaning|bemoan
bequeathing|bequeath
berating|berate
bereaving|bereave
beseeching|beseech
besieging|besiege
besmirching|besmirch
bespeaking|bespeak
besting|best
bestirring|bestir
bestowing|bestow
bestrewing|bestrew
bestriding|bestride
betokening|betoken
betraying|betray
bevelling|bevel
bewailing|bewail
bewildering|bewilder
bewitching|bewitch
biasing|bias
biding|bide
biffing|biff
bilking|bilk
billing|bill
billeting|billet
birching|birch
bisecting|bisect
blackballing|blackball
blacklisting|blacklist
blackmailing|blackmail
blaming|blame
blanketing|blanket
blasting|blast
blazoning|blazon
blemishing|blemish
blessing|bless
blighting|blight
blindfolding|blind
blinding|blindfold
blitzing|blitz
blockading|blockade
blow-drying|blow-dry
bludgeoning|bludgeon
blue-pencilling|blue-pencil
blunting|blunt
bolstering|bolster
bombing|bomb
bombarding|bombard
boosting|boost
bossing|boss
botching|botch
boycotting|boycott
bracing|brace
bracketing|bracket
braiding|braid
brainwashing|brainwash
braising|braise
branding|brand
brandishing|brandish
braving|brave
breaching|breach
bribing|bribe
bricking|brick
bridging|bridge
briefing|brief
broaching|broach
brocading|brocade
bronzing|bronze
brooking|brook
browbeating|browbeat
brutalizing|brutalize
budgeting|budget
buffing|buff
bugging|bug
bulldozing|bulldoze
bunging|bung
bungling|bungle
buoying|buoy
burdening|burden
burlesquing|burlesque
burying|bury
busing|bus
bussing|bus
busying|busy
butchering|butcher
buttonholing|buttonhole
buttressing|buttress
by-passing|by-pass
bypassing|bypass
cajoling|cajole
calibrating|calibrate
camouflaging|camouflage
caning|cane
cannibalizing|cannibalize
canonizing|canonize
capping|cap
captivating|captivate
capturing|capture
carbonizing|carbonize
carding|card
caressing|caress
caricaturing|caricature
carpeting|carpet
casing|case
castigating|castigate
castrating|castrate
cataloguing|catalogue
catapulting|catapult
categorizing|categorize
ceding|cede
cementing|cement
censoring|censor
censuring|censure
centralizing|centralize
chagrining|chagrin
chaining|chain
chairing|chair
championing|champion
channelling|channel
chaperoning|chaperon
charming|charm
chartering|chart
charting|charter
chastening|chasten
chastising|chastise
cheapening|cheapen
checkmating|checkmate
cherishing|cherish
chiding|chide
chiselling|chisel
chlorinating|chlorinate
christening|christen
chronicling|chronicle
circularizing|circularize
circumcising|circumcise
circumnavigating|circumnavigate
circumscribing|circumscribe
circumventing|circumvent
citing|cite
civilizing|civilize
clamping|clamp
classifying|classify
clawing|claw
cleansing|cleanse
clenching|clench
clipping|clip
cloaking|cloak
clobbering|clobber
cloistering|cloister
cloning|clone
closeting|closet
clothing|clothe
clubbing|club
co-authoring|co-author
co-opting|co-opt
co-producing|co-produce
coating|coat
cobbling|cobble
cocking|cock
coddling|coddle
codifying|code
coding|codify
coercing|coerce
coining|coin
cold-shouldering|cold-shoulder
collaring|collar
collating|collate
collecting|collect
collectivizing|collectivize
colonizing|colonize
coloring|color
colouring|colour
combating|combat
combatting|combat
comforting|comfort
commandeering|commandeer
commemorating|commemorate
commending|commend
commercializing|commercialize
compacting|compact
compartmentalizing|compartmentalize
compiling|compile
complementing|complement
completing|complete
complicating|complicate
complimenting|compliment
composting|compost
compounding|compound
comprehending|comprehend
compressing|compress
comprising|comprise
computerizing|computerize
conning|con
concealing|conceal
concerning|concern
conciliating|conciliate
concocting|concoct
conditioning|condition
condoning|condone
configuring|configure
confining|confine
confiscating|confiscate
confounding|confound
confronting|confront
confusing|confuse
confuting|confute
congratulating|congratulate
conking|conk
connoting|connote
conquering|conquer
conscripting|conscript
consecrating|consecrate
conserving|conserve
consigning|consign
consoling|console
constituting|constitute
constraining|constrain
constricting|constrict
constructing|construct
construing|construe
consuming|consume
consummating|consummate
contacting|contact
containing|contain
contaminating|contaminate
contenting|content
contorting|contort
contouring|contour
contradicting|contradict
contravening|contravene
contriving|contrive
controlling|control
conveying|convey
convoking|convoke
convoying|convoy
convulsing|convulse
cooping|coop
coordinating|coordinate
copying|copy
copyrighting|copyright
cording|cord
cordoning|cordon
coring|core
corking|cork
cornering|corner
corralling|corral
correcting|correct
corroborating|corroborate
countenancing|countenance
counteracting|counteract
counterbalancing|counterbalance
counterfeiting|counterfeit
countermanding|countermand
countersigning|countersign
coupling|couple
courting|court
court-martialing|court-martial
coveting|covet
cradling|cradle
cramping|cramp
craning|crane
crayoning|crayon
creaming|cream
creating|create
crediting|credit
cremating|cremate
crimping|crimp
crippling|cripple
criticizing|criticize
cross-examining|cross-examine
cross-fertilizing|cross-fertilize
cross-indexing|cross-index
cross-questioning|cross-question
crossbreeding|crossbreed
crowning|crown
crucifying|crucify
crushing|crush
cubing|cube
cudgeling|cudgel
cuffing|cuff
culling|cull
cultivating|cultivate
cupping|cup
curbing|curb
curing|cure
currying|curry
curtailing|curtail
cushioning|cushion
damaging|damage
damning|damn
dampening|dampen
dandling|dandle
daubing|daub
daunting|daunt
dazing|daze
dazzling|dazzle
de-escalating|de-escalate
de-icing|de-ice
deadening|deaden
deafening|deafen
debarring|debar
debasing|debase
debauching|debauch
debilitating|debilitate
debiting|debit
debriefing|debrief
debugging|debug
debunking|debunk
decanting|decant
decapitating|decapitate
decarbonizing|decarbonize
deceiving|deceive
decentralizing|decentralize
decertifying|decertify
decimalizing|decimalize
decimating|decimate
deciphering|decipher
decking|deck
declaiming|declaim
declassifying|declassify
decoding|decode
decolonizing|decolonize
decompressing|decompress
decontaminating|decontaminate
decorating|decorate
decrying|decry
dedicating|dedicate
deducting|deduct
deep-freezing|deep-freeze
defacing|deface
defaming|defame
defeating|defeat
defending|defend
deferring|defer
defiling|defile
defining|define
deflating|deflate
deflowering|deflower
defoliating|defoliate
deforesting|deforest
deforming|deform
defrauding|defraud
defraying|defray
defrocking|defrock
defrosting|defrost
defusing|defuse
defying|defy
degrading|degrade
dehumanizing|dehumanize
dehydrating|dehydrate
deifying|deify
delegating|delegate
deleting|delete
delimiting|delimit
delineating|delineate
deluding|delude
demagnetizing|demagnetize
demarcating|demarcate
demeaning|demean
demilitarizing|demilitarize
demisting|demist
demobilizing|demobilize
demolishing|demolish
demoralizing|demoralize
demoting|demote
denationalizing|denationalize
denigrating|denigrate
denominating|denominate
denoting|denote
denouncing|denounce
denting|dent
denuding|denude
deodorizing|deodorize
depleting|deplete
deploring|deplore
deploying|deploy
depopulating|depopulate
deporting|deport
deposing|depose
depositing|deposit
deprecating|deprecate
deprogramming|deprogram
deranging|derange
deriding|deride
desalinating|desalinate
desalinizing|desalinize
desecrating|desecrate
desegregating|desegregate
desensitizing|desensitize
deserting|desert
desiccating|desiccate
designating|designate
despatching|despatch
despising|despise
despoiling|despoil
destroying|destroy
detaching|detach
detaining|detain
detecting|detect
deterring|deter
detesting|detest
dethroning|dethrone
devaluating|devaluate
devaluing|devalue
devastating|devastate
devising|devise
devoting|devote
devouring|devour
diagnosing|diagnose
dicing|dice
diddling|diddle
diffracting|diffract
dignifying|dignify
diluting|dilute
directing|direct
disabling|disable
disallowing|disallow
disappointing|disappoint
disarranging|disarrange
disassociating|disassociate
disavowing|disavow
disbursing|disburse
discarding|discard
disciplining|discipline
disclaiming|disclaim
discomfiting|discomfit
disconcerting|disconcert
disconnecting|disconnect
discontenting|discontent
discounting|discount
discouraging|discourage
discrediting|discredit
disdaining|disdain
disembarrassing|disembarrass
disembowelling|disembowel
disenchanting|disenchant
disenfranchising|disenfranchise
disestablishing|disestablish
disfavouring|disfavour
disfiguring|disfigure
disgorging|disgorge
disgracing|disgrace
disguising|disguise
disheartening|dishearten
dishonouring|dishonour
disillusioning|disillusion
disinfecting|disinfect
disinheriting|disinherit
disinterring|disinter
dislocating|dislocate
dislodging|dislodge
dismantling|dismantle
dismembering|dismember
dismissing|dismiss
disobeying|disobey
disorienting|disorient
disorientating|disorientate
disowning|disown
disparaging|disparage
dispatching|dispatch
dispelling|dispel
displacing|displace
displaying|display
displeasing|displease
dispossessing|dispossess
disproving|disprove
disqualifying|disqualify
disregarding|disregard
disrupting|disrupt
dissecting|dissect
disseminating|disseminate
dissociating|dissociate
dissuading|dissuade
distancing|distance
distilling|distil
distorting|distort
distracting|distract
distributing|distribute
distrusting|distrust
disturbing|disturb
ditching|ditch
diverting|divert
divesting|divest
divorcing|divorce
divulging|divulge
dizzying|dizzy
doctoring|doctor
documenting|document
doffing|doff
domesticating|domesticate
dominating|dominate
donating|don
donning|donate
dooming|doom
doping|dope
dotting|dot
double-checking|double-check
double-crossing|double-cross
dousing|douse
downgrading|down
downing|downgrade
downloading|download
dragooning|dragoon
dramatizing|dramatize
draping|drape
drenching|drench
drip-drying|drip-dry
drubbing|drub
drugging|drug
dry-cleaning|dry-clean
dumbfounding|dumbfound
dunking|dunk
duping|dupe
duplicating|duplicate
dusting|dust
dwarfing|dwarf
dyeing|dye
dynamiting|dynamite
earmarking|earmark
earning|earn
eclipsing|eclipse
edifying|edify
editing|edit
effacing|efface
effecting|effect
elbowing|elbow
electrifying|electrify
electrocuting|electrocute
elevating|elevate
eliciting|elicit
eliding|elide
eliminating|eliminate
elucidating|elucidate
eluding|elude
emancipating|emancipate
emasculating|emasculate
embalming|embalm
embargoing|embargo
embedding|embed
embellishing|embellish
embezzling|embezzle
embittering|embitter
emblazoning|emblazon
embodying|embody
emboldening|embolden
embossing|emboss
embracing|embrace
embroiling|embroil
emending|emend
emitting|emit
empanelling|empanel
empowering|empower
emulating|emulate
emulsifying|emulsify
enacting|enact
enamelling|enamel
encasing|encase
enchanting|enchant
encircling|encircle
enclosing|enclose
encoding|encode
encompassing|encompass
encountering|encounter
encrypting|encrypt
encumbering|encumber
endangering|endanger
endearing|endear
endorsing|endorse
endowing|endow
enervating|enervate
enfolding|enfold
enforcing|enforce
enfranchising|enfranchise
engendering|engender
engineering|engineer
engraving|engrave
engrossing|engross
engulfing|engulf
enhancing|enhance
enjoining|enjoin
enlarging|enlarge
enlightening|enlighten
enlivening|enliven
enmeshing|enmesh
ennobling|ennoble
enraging|enrage
enriching|enrich
ensconcing|ensconce
enshrining|enshrine
enshrouding|enshroud
enslaving|enslave
ensnaring|ensnare
entangling|entangle
enthralling|enthral
enthralling|enthrall
enthroning|enthrone
entombing|entomb
entraining|entrain
entrancing|entrance
entrapping|entrap
entreating|entreat
entrusting|entrust
entwining|entwine
enumerating|enumerate
enveloping|envelop
envisaging|envisage
envying|envy
epitomizing|epitomize
equalizing|equal
equalling|equalize
equating|equate
equipping|equip
eradicating|eradicate
erasing|erase
erecting|erect
eschewing|eschew
escorting|escort
espousing|espouse
espying|espy
establishing|establish
esteeming|esteem
eulogizing|eulogize
evading|evade
evaluating|evaluate
evicting|evict
evincing|evince
eviscerating|eviscerate
evoking|evoke
exacerbating|exacerbate
exalting|exalt
examining|examine
exasperating|exasperate
excavating|excavate
exceeding|exceed
excepting|except
exchanging|exchange
excising|excise
excluding|exclude
excommunicating|excommunicate
excoriating|excoriate
excreting|excrete
exculpating|exculpate
excusing|excuse
executing|execute
exemplifying|exemplify
exempting|exempt
exerting|exert
exhausting|exhaust
exhibiting|exhibit
exhilarating|exhilarate
exhuming|exhume
exiling|exile
exorcizing|exorcize
expediting|expedite
expelling|expel
expending|expend
experiencing|experience
expiating|expiate
explicating|explicate
exploiting|exploit
exporting|export
exposing|expose
expressing|express
expropriating|expropriate
expunging|expunge
expurgating|expurgate
extenuating|extenuate
exterminating|exterminate
externalizing|externalize
extinguishing|extinguish
extirpating|extirpate
extolling|extol
extorting|extort
extracting|extract
extraditing|extradite
extricating|extricate
exuding|exude
eying|eye
fabricating|fabricate
facilitating|facilitate
fagging|fag
faking|fake
falsifying|falsify
familiarizing|familiarize
fancying|fancy
fascinating|fascinate
fashioning|fashion
fating|fate
fathoming|fathom
fatiguing|fatigue
faulting|fault
favouring|favour
feathering|feather
featuring|feature
feeding|feed
feigning|feign
felling|fell
fencing|fence
ferreting|ferret
fertilizing|fertilize
festooning|festoon
feting|fete
fettering|fetter
filleting|fillet
finalizing|finalize
financing|finance
fine-tuning|fine-tune
fingering|finger
flagellating|flagellate
flanking|flank
flattering|flatter
flaunting|flaunt
flavouring|flavour
flaying|flay
fleecing|fleece
flexing|flex
flicking|flick
flogging|flog
floodlighting|floodlight
flooring|floor
flouting|flout
fluffing|fluff
flummoxing|flummox
fluoridating|fluoridate
flurrying|flurry
flustering|fluster
foiling|foil
foisting|foist
fomenting|foment
fondling|fondle
fooling|fool
force-feeding|force-feed
fording|ford
forecasting|forecast
foregoing|forego
foreordaining|foreordain
foreshadowing|foreshadow
foreshortening|foreshorten
forestalling|forestall
foreswearing|foreswear
foretelling|foretell
forfeiting|forfeit
forging|forge
forgoing|forgo
formalizing|formalize
formulating|formulate
forsaking|forsake
forswearing|forswear
fortifying|fortify
forwarding|forward
fostering|foster
founding|found
framing|frame
franking|frank
freeing|free
frequenting|frequent
frescoing|fresco
fricasseeing|fricassee
frightening|frighten
frisking|frisk
frittering|fritter
frogmarching|frogmarch
frustrating|frustrate
frying|fry
fulfilling|fulfil
fulfilling|fulfill
fumigating|fumigate
funding|fund
funnelling|funnel
furbishing|furbish
furnishing|furnish
furrowing|furrow
furthering|further
gaging|gage
gainsaying|gainsay
galling|gall
galvanizing|galvanize
gaoling|gaol
garbing|garb
garbling|garble
garnering|garner
garnishing|garnish
garrisoning|garrison
gashing|gash
gatecrashing|gatecrash
gauging|gauge
generating|generate
gerrymandering|gerrymander
gilding|gild
ginning|gin
girding|gird
gladdening|gladden
glamorizing|glamorize
gleaning|glean
glimpsing|glimpse
glorifying|glorify
glutting|glut
goading|goad
gorging|gore
goring|gorge
grabbing|grab
gracing|grace
grading|grade
grafting|graft
gratifying|gratify
gravelling|gravel
greasing|grease
greeting|greet
grilling|grill
gripping|grip
gritting|grit
groining|groin
grooming|groom
grossing|gross
grudging|grudge
guarding|guard
guiding|guide
guillotining|guillotine
gumming|gum
gunning|gun
gutting|gut
guzzling|guzzle
gypping|gyp
hallowing|hallow
halting|halt
halving|halve
hampering|hamper
hamstringing|hamstring
handcuffing|handcuff
handicapping|handicap
handling|handle
haranguing|harangue
harassing|harass
harboring|harbor
harbouring|harbour
harming|harm
harnessing|harness
harpooning|harpoon
harrowing|harrow
harrying|harry
harvesting|harvest
hassling|hassle
haunting|haunt
hawking|hawk
hazarding|hazard
hazing|haze
heaping|heap
heartening|hearten
heeding|heed
heralding|herald
highjacking|highjack
highlighting|highlight
hijacking|hijack
hindering|hinder
hitting|hit
hoaxing|hoax
hobbling|hobble
hocking|hock
hogging|hog
hollowing|hollow
homogenizing|homogenize
honing|hone
honoring|honor
honouring|honour
hooding|hood
hoodwinking|hoodwink
horrifying|horrify
horsewhipping|horsewhip
hosing|hose
hospitalizing|hospitalize
hosting|host
hotfooting|hotfoot
hounding|hound
housing|house
hulling|hull
humbling|humble
humbugging|humbug
humiliating|humiliate
humouring|humour
humping|hump
hunching|hunch
hurling|hurl
husking|husk
hyphenating|hyphenate
hypnotizing|hypnotize
idealizing|idealize
identifying|identify
idolizing|idolize
ignoring|ignore
ill-treating|ill-treat
illuminating|illuminate
illumining|illumine
illustrating|illustrate
imaging|image
imbibing|imbibe
imbuing|imbue
imitating|imitate
immersing|immerse
immobilizing|immobilize
immolating|immolate
immortalizing|immortalize
immunizing|immunize
impacting|impact
impairing|impair
impaling|impale
impanelling|impanel
imparting|impart
impeaching|impeach
impeding|impede
imperilling|imperil
impersonating|impersonate
implanting|implant
implementing|implement
implicating|implicate
importing|import
imposing|impose
impounding|impound
impoverishing|impoverish
impregnating|impregnate
impressing|impress
imprinting|imprint
imprisoning|imprison
impugning|impugn
imputing|impute
inactivating|inactivate
inaugurating|inaugurate
incapacitating|incapacitate
incarcerating|incarcerate
incensing|incense
incinerating|incinerate
including|include
inconveniencing|inconvenience
incriminating|incriminate
inculcating|inculcate
incurring|incur
indemnifying|indemnify
indenturing|indenture
indexing|index
indicting|indict
individuating|individuate
indoctrinating|indoctrinate
inducting|induct
infatuating|infatuate
infecting|infect
infesting|infest
infiltrating|infiltrate
inflaming|inflame
inflating|inflate
inflecting|inflect
inflicting|inflict
influencing|influence
infuriating|infuriate
infusing|infuse
ingesting|ingest
ingratiating|ingratiate
inhabiting|inhabit
inheriting|inherit
inhibiting|inhibit
initialling|initial
initiating|initiate
injecting|inject
injuring|injure
inking|ink
inoculating|inoculate
inscribing|inscribe
inseminating|inseminate
inserting|insert
inspecting|inspect
installing|install
instigating|instigate
instilling|instil
instilling|instill
instituting|institute
institutionalizing|institutionalize
insulating|insulate
insulting|insult
insuring|insure
integrating|integrate
interring|inter
intercepting|intercept
interchanging|interchange
interdicting|interdict
interesting|interest
interjecting|interject
interleaving|interleave
internalizing|internalize
internationalizing|internationalize
interpolating|interpolate
interrogating|interrogate
interspersing|intersperse
interweaving|interweave
intimidating|intimidate
intoning|intone
intoxicating|intoxicate
introducing|introduce
intuiting|intuit
inundating|inundate
invading|invade
invalidating|invalidate
inveigling|inveigle
inventing|invent
inverting|invert
invigorating|invigorate
invoking|invoke
irking|irk
irradiating|irradiate
irrigating|irrigate
isolating|isolate
italicizing|italicize
itemizing|itemize
iterating|iterate
jailing|jail
jarring|jar
jeopardizing|jeopardize
jettisoning|jettison
jilting|jilt
jollying|jolly
jugging|jug
juxtaposing|juxtapose
kenning|ken
kidnapping|kidnap
kissing|kiss
kneading|knead
knifing|knife
knighting|knight
labelling|label
lacerating|lace
lacing|lacerate
lacking|lack
lacquering|lacquer
lambasting|lambaste
laminating|laminate
lampooning|lampoon
lancing|lance
landscaping|landscape
lassoing|lasso
lauding|laud
laundering|launder
lavishing|lavish
leaching|leach
leapfrogging|leapfrog
leasing|lease
leavening|leaven
legalizing|legalize
legitimatizing|legitimatize
levering|lever
leveraging|leverage
levying|levy
libelling|libel
liberalizing|liberalize
liberating|liberate
licencing|licence
likening|liken
limiting|limit
lionizing|lionize
liquidizing|liquidize
listing|list
loaning|loan
loathing|loathe
lobbing|lob
localizing|localize
lofting|loft
looting|loot
lubricating|lubricate
lugging|lug
lulling|lull
lumping|lump
luring|lure
lynching|lynch
maddening|madden
magnetizing|magnetize
magnifying|magnify
maiming|maim
maligning|malign
maltreating|maltreat
manning|man
manacling|manacle
mandating|mandate
mangling|mangle
manhandling|manhandle
manicuring|manicure
manifesting|manifest
manipulating|manipulate
manufacturing|manufacture
marring|mar
marketing|market
marooning|maroon
marshalling|marshal
martyring|martyr
mashing|mash
masking|mask
mass-producing|mass-produce
massaging|massage
mastering|master
masterminding|mastermind
masticating|masticate
mauling|maul
maximizing|maximize
measuring|measure
mechanizing|mechanize
medicating|medicate
memorializing|memorialize
memorizing|memorize
menacing|menace
meriting|merit
mesmerizing|mesmerize
microfilming|microfilm
milking|milk
mimeographing|mimeograph
mimicking|mimic
mincing|mince
miniaturizing|miniaturize
minimizing|minimize
minting|mint
miring|mire
mirroring|mirror
misapplying|misapply
misapprehending|misapprehend
misappropriating|misappropriate
miscastting|miscast
misconceiving|misconceive
misconstruing|misconstrue
misdating|misdate
misdirecting|misdirect
misgoverning|misgovern
misguiding|misguide
mishandling|mishandle
mishearing|mishear
misinforming|misinform
misinterpreting|misinterpret
mislaying|mislay
misleading|mislead
mismanaging|mismanage
misnaming|misname
misplacing|misplace
mispronouncing|mispronounce
misquoting|misquote
misreading|misread
misrepresenting|misrepresent
misspelling|misspell
misspending|misspend
misstating|misstate
mistaking|mistake
mistranslating|mistranslate
mistreating|mistreat
mistrusting|mistrust
misusing|misuse
mitigating|mitigate
mobbing|mob
mocking|mock
modeling|model
modifying|modify
modulating|modulate
molding|mold
molesting|molest
mollifying|mollify
mollycoddling|mollycoddle
monitoring|monitor
monopolizing|monopolize
mooring|moor
mortaring|mortar
mortgaging|mortgage
mortifying|mortify
mothproofing|mothproof
motorizing|motorize
muddying|muddy
muffing|muff
muffling|muffle
mugging|mug
mulching|mulch
murdering|murder
mustering|muster
mutilating|mute
muting|mutilate
muzzling|muzzle
mystifying|mystify
nabbing|nab
nagging|nag
narrating|narrate
nationalizing|nationalize
naturalizing|naturalize
needling|needle
negating|negate
netting|net
nettling|nettle
neutering|neuter
neutralizing|neutralize
nicking|nick
nicknaming|nickname
normalizing|normalize
nourishing|nourish
nudging|nudge
nullifying|nullify
numbering|numb
numbing|number
nursing|nurse
nurturing|nurture
obfuscating|obfuscate
obligating|obligate
obliterating|obliterate
obscuring|obscure
obstructing|obstruct
obtaining|obtain
obviating|obviate
occasioning|occasion
occupying|occupy
offending|offend
offsetting|offset
oiling|oil
okaying|okay
omening|omen
omitting|omit
oppressing|oppress
orchestrating|orchestrate
ordaining|ordain
organizing|organize
orienting|orient
orientating|orientate
ornamenting|ornament
ostracizing|ostracize
ousting|oust
outbalancing|outbalance
outbiding|outbid
outclassing|outclass
outdistancing|outdistance
outdoing|outdo
outfighting|outfight
outfitting|outfit
outflanking|outflank
